# ReForger Anvil type-tag dictionary
# One entry per line as CRC32(class name)|class name; # starts a comment.
# Hand edits are fine -- a name is correct exactly when it hashes to its tag.
# Type dictionary for Assassin's Creed Odyssey.
# 1.177 of the 1.189 type tags this game's forges reference are named (99,0 %).
# Read out of the running game's memory and verified by hash: the tag is CRC-32 of the
# class name, so every line here hashes back to the tag it names.
# Generated 2026-08-13.

0x441D6851|AC2AssassinationTargetTracker
0x60B663FB|Accomplishment
0x022F146B|AccomplishmentConfig
0x79210545|AccomplishmentManager
0x1F838AD4|AccomplishmentManagerDLCAddon
0x3B4F5451|ACDGlobalMusicSettings
0xC8B3630E|ACEFightReferenceTargetTracker
0xB523F455|ACEFightSettings
0xC01C2E43|ACEFightSettingsDLCAddon
0x11429399|ActionControlStringDLCAddon
0x8170FF5C|ACUGlobalSoundSet
0x29EFC05F|AdditionalFactionHierarchyAddon
0x0E13565C|AdrenalinActionRefillValue
0xA19F043A|AdrenalinDrainValue
0xE26C70BE|AdrenalinSectionCostValue
0xDD03872F|AdrenalinSettingsDLCAddon
0x3BD8B93D|AdvertManager
0x79C6D23B|AFSCategoriesSet
0xE80D4CAD|AgendaTree
0xA3602709|AgentContextData
0xED4C6F87|AgentContextDataAddon
0x17E86388|AgentContextDataEntry
0x05F998A9|AgentContextTransitionTree
0x3D6A155E|AIContextBodyguardReactionHandlerLogicDescriptor
0x60AE11FE|AIContextDataAmbush
0xA5076A88|AIContextDataBodyGuard
0x658DDF9C|AIContextDataDefend
0x9F3CCD42|AIContextDataFollow
0xF3716B2F|AIContextDataGather
0x22DF91A5|AIContextSettings
0xE1F97746|AIFightStagingSettings
0xF5E0BEA6|AIFightStagingSettingsDLCAddon
0x634EB049|AINetworkGlobalDataUniverseComponent
0xF7FE1FFA|AIRoleDefinition
0x5766A70C|AmbianceZone
0xDAE744C7|AmbianceZonesSettingsCellData
0x599A86E9|AmbienceBoxesBackgroundSettings
0xC945D933|AmbienceZoneBackgroundSoundData
0xA4DD63BE|AmbienceZoneSoundData
0xEF97722C|AmbientSpawnDirector
0x1589F53A|AnimalActorDataWrapper
0x0E655B63|AnimalCentricHitchModel
0x5C9ACBA0|AnimalContextDataSet
0x662BB5EC|AnimalIncapacitateSettings
0x1D376EFB|AnimalSoundSet
0x0ECC3F99|AnimalSwarmAnimationDescriptor
0xC28AB286|AnimalSwarmAnimationsPreset
0xB0511F95|AnimalTamingSettings
0x87A64562|AnimalTamingSoundSet
0x201429AB|AnimatedTexture
0x0FA3067F|Animation
0x174B8004|AnimationSettings
0xAFF768E2|AnimationSettingsDLCAddon
0x46A37798|AnimTrackBuiltinTracksTable
0x198B47F1|AnvilScript
0xDB7D7B5D|AnvilScriptProject
0x82BEC695|ArcherVolleySoundSet
0x488D7C1E|ArchetypeSchedules
0x76D856E2|AreaGraphPatrolSettings
0xDC16BD0D|ArenaEncounterDefinition
0xA9327222|ArenaFacialGroupSet
0x1599F3C8|ArenaGameplaySettings
0x6994F05A|ArenaObjectiveSettings
0xC86AFD05|ArenaQuestSoundSet
0x4C4DCD94|ArenaSoundSet
0xBBF663AC|ArmorSettings
0x321CDCCB|AssassinBlackboardKeyRepository
0xE0D03A8D|AssassinMicrophoneDLCAddon
0xDE7DF9CB|AssassinQuestUIIconSettings
0x9432706E|AssassinSoundManager
0xFD9CF1E7|AssassinSoundSettings
0x85E86216|AssassinSoundSettingsDLCAddon
0xAC52E01A|AssassinStorySettings
0x514E38F5|AssassinSwitchSoundSet
0xFE5D6729|AssetSelectionCellData
0x06A1F7BA|AssetSelectorType
0x7876385F|AsyncGameModesSettings
0xB0706D46|AsyncGhostGameSettings
0xC0C861CD|AtomGraph
0xECEB61FF|AtomReplaceManager
0x6CAECC37|AtomReplaceTree
0xE40AC48E|AwarenessSettingsNew
0xB4902241|BallisticProjectileSettingsDLCAddon
0x8FED0345|BallisticProjectileSoundSet
0x460DD209|BallJointCommonData
0x97CD8890|BarrelShape
0x6538E486|BenchmarkFlowManager
0x7A83F531|BigBattleAnimationGroup
0xD9D6DC13|BigBattleAnimationsPreset
0x644A8F92|BigBattleDataContainer
0x03FA7B06|BigBattleFightPocket
0xD201873B|BigBattleParameters
0xFC2BD79B|BigBattlePhalanxFormation
0xC3AB5BBC|BigBattleSettings
0xF45C014B|BigBattleSoundSet
0x303579FF|BlendingSettings
0x52C7F9F4|BoatCaptainFacialGroupSet
0x647C80CB|BoatContextDataSet
0x901B3F44|BoatData
0xD8871AE3|BoatDockingSettings
0x26DB5FF5|BoatFlameThrowerDLCAddon
0x7A6203B3|BoatFlameThrowerRankInfoDefinition
0x5BEAAA80|BoatRankInfo
0xD510F10E|BoatSecondInCommandFacialGroupSet
0x7807A27F|BoatShape
0xCC52B1CF|BoatTypeInfoEntry
0x64548654|BoatVehicleAddon
0x786374A5|BoatVehicleBehaviorData
0xAE56845E|BoatVehicleBoardingData
0x4D6EEA6F|BoatVehicleBracingData
0x10319BF7|BoatVehicleDamageData
