# ReForger Anvil type-tag dictionary
# One entry per line as CRC32(class name)|class name; # starts a comment.
# Hand edits are fine -- a name is correct exactly when it hashes to its tag.
# Type dictionary for Assassin's Creed Origins.
# 913 of the 933 type tags this game's forges reference are named (97,9 %).
# 901 were proven from this game itself, from its running memory and its own executables.
# 7 were completed from published dictionaries (Assassin's Creed Odyssey (6), Assassin's Creed Black Flag Resynced (1)) and are marked with their source; this game does not ship the names of those types.
# Every entry is verified by hash against a tag this game's own forges reference: the
# tag is CRC-32 of the class name, so each line hashes back to the tag it names.
# Generated 2026-08-13.

0x60B663FB|Accomplishment
0x022F146B|AccomplishmentConfig
0x79210545|AccomplishmentManager
0x1F838AD4|AccomplishmentManagerDLCAddon
0xC8B3630E|ACEFightReferenceTargetTracker
0xB523F455|ACEFightSettings
0x195B695E|ActionKit
0x739C3BE8|ActivityPacingManager
0x5C8ECB66|ActivitySoundReaction
0x8170FF5C|ACUGlobalSoundSet
0x488957FD|AddAIActionToBowFiringPropertiesDLCAddon
0x344068A9|AdvancedControlOptionViewModel
0x3BD8B93D|AdvertManager
0x3D6A155E|AIContextBodyguardReactionHandlerLogicDescriptor
0x60AE11FE|AIContextDataAmbush
0x1D023825|AIContextDataBattleZone
0xA5076A88|AIContextDataBodyGuard
0x658DDF9C|AIContextDataDefend
0x9F3CCD42|AIContextDataFollow
0x22DF91A5|AIContextSettings
0x11A0F7CD|AIEntityInteractionManagerSettings
0xE1F97746|AIFightStagingSettings
0xBD24A67E|AimAssistOptionViewModel
0xC2A0426B|AimingPositionGroup
0x634EB049|AINetworkGlobalDataUniverseComponent
0xAC620613|AkhenatenRaysPrismSoundSet
0x5766A70C|AmbianceZone
0xDAE744C7|AmbianceZonesSettingsCellData
0x599A86E9|AmbienceBoxesBackgroundSettings
0xC945D933|AmbienceZoneBackgroundSoundData
0xA4DD63BE|AmbienceZoneSoundData
0x0E655B63|AnimalCentricHitchModel
0x1D376EFB|AnimalSoundSet
0xB0511F95|AnimalTamingSettings
0x87A64562|AnimalTamingSoundSet
0x201429AB|AnimatedTexture
0x0FA3067F|Animation
0x174B8004|AnimationSettings    # from Assassin's Creed Odyssey
0x46A37798|AnimTrackBuiltinTracksTable
0x5BEA3ED5|AnimusDatabase
0xB1871BDE|AnimusDatabaseCategory
0x463B1C26|AnimusDatabaseEntry
0x24263908|AnimusDatabaseSubcategory
0x9432706E|AssassinSoundManager
0xFD9CF1E7|AssassinSoundSettings
0x514E38F5|AssassinSwitchSoundSet
0xFE5D6729|AssetSelectionCellData
0x06A1F7BA|AssetSelectorType
0x44A939EC|AsyncActivityAnnouncer
0x4D0AA7E9|AsyncActivityMonitor
0x3F293243|AsyncActivityScoreData
0x10DD6779|AsyncActivityScoreEntry
0x768EBE0E|AsyncActivityScoreManager
0x7876385F|AsyncGameModesSettings
0xA2D039D5|AsyncGhostContent
0xB0706D46|AsyncGhostGameSettings
0x8B5DD22C|AsyncGhostSoundSet
0xC0C861CD|AtomGraph
0xECEB61FF|AtomReplaceManager
0x6CAECC37|AtomReplaceTree
0xE40AC48E|AwarenessSettingsNew
0x8FED0345|BallisticProjectileSoundSet
0x460DD209|BallJointCommonData
0x97CD8890|BarrelShape
0x3342EE04|BaseCounterWeightsSoundSet
0x6538E486|BenchmarkFlowManager
0x303579FF|BlendingSettings
0x2B8C8AE0|BNCLDRubberBandSettings
0xB3ADF542|BodyPartMapping
0x02251ED8|BodyPartTemplate
0xBF9F1F9E|BoolOptionViewModel
0xCF5A38D9|BoostCharacterSettings
0x507AEF4E|BoostCharacterSettingsDLCAddon
0x9328902D|BossFightActivityPack
0xBEB72B58|BossLootSpawnerData
0xF9D63B93|BossMarkupFXPlayerData
0x1F6BA72E|BowSoundSet
0x4EC68E98|BoxShape
0x116F4A3B|BuilderVariationLoader
0x22ECBE63|BuildTable
0xF8C05D2F|BuildTagsToColumnMasks
0x63B0A8F8|BulkActionPack
0x78B0A1F2|BulkActionType
0x45D5AD71|BulkCustomActionData
0x55D1A913|BulkGlobalSettings
0x4107267C|BulkMesh
0x0E0DBB0F|BulkSkeletalAnimation
0x99D6A958|CameraGraph
0xE487F4CC|CameraGraphRuleBook
0x7AAB07A6|CameraManager
0xFFD53AC8|CameraNodeDLCAddon
0x01A0D270|CameraSelectorBlenderNode
0xD536E933|CameraSelectorNode
0x8E6962C7|CameraTargetTracker
0x0DD5981F|Capsule
0xB8599052|CapsuleShape
0x2B3B6499|CarriableObjectSoundSet
0xF3B96FA8|CarriageFXPack
0xB37DCBE7|CarriageMetaData
0x3B3E85D1|CarriageRagdollConstraintData
0x7AC1AB3E|CarriedTargetTracker
0xCD274D63|CarrySettings
0x998006F2|CharacterNavigationManager
0x2A06D2F0|CheatManager
0x8AEBEF49|CheatManagerDLCAddon
0xF3E1113B|CitadelSettings
0x94FB04BC|ClimateSettings
0x94B42B0E|ClosestFighterTargetTracker
0xE33044BA|Cloth
0xE0746C2A|CloudData
0x88BEF736|CollectibleSoundSet
0xB31066E2|Collection
0x74F7311D|CollisionMaterial
0x1D4B87A3|CompiledMip
0xCE16DE1F|CompletableLocationInventoryItemActivity
0x67F49DEC|CompletableLocationList
0x3081A125|CompletableLocationMissionGroupActivity
0x6AAD6AFA|ConeCapsuleShape
0x39E461FA|ConflictMusicSettings
0x43F0EEBF|ConstantPropertyControllerData
0x2AF75776|ContactMaterialSettings
0x1B5F6CFD|ContactMaterialSettingsDLCAddon
0x5A03895E|ContactTable
0x4DB4B1FE|ContentPackage
0x06A44366|ContextualActionSettings
0x7B2672C0|ContextualCollisionSearchParameters
0x7E378F29|ContextualInteractionModule
0xDD4E76DD|ControlPlatformImage
0xB39AD60E|ControlsManager
0x22F75E7B|ControlsManagerDLCAddon
0x931181BF|ConversationTable
0x9BF4C2A9|ConversationTemplate
0x73556CDA|ConvexExtrudedShape
0x79410E1F|ConvexMeshShape
0x36247029|CostSettings
0x9A2C7413|CraftingContextPatch
0xD5A9D963|CraftingRecipe
0x0BCD6C16|CraftingRecipeDLCAddon
0xC64D208F|CraftingRecipeList
0x78FBDEDE|CraftingSettings
0xB60CFAC8|CrossbowCurveColorPicker
0x5B8B9990|CrowdDutyRegion
0x2929B3C5|CrowdStationDescriptionLabel
0xAE849E18|CSSManager
0x4E6B6D11|CSSManagerDLCAddon
0x52B36CC4|CSSPreset
0x238ECF93|CursorPlatformImage
0x18B9D8B1|CustomActionPack
0x04B82131|CustomMarkerModule
0x69F7743F|CustomPlatformImage
0x23226A61|CustomWeaponActionPack
0xD8196FAE|CutCameraTransition
0x445B37F9|CylinderShape
0x1A0FDFBE|DamageRules
0xA4DCAD02|DataExclusionRegionCellData
0x41813744|DataLayer
0x651B5AA3|DataLayerGroup
0x338CDC20|DataLayerManager
0x0E122045|DataLayerManagerDLCAddon
0x6C5F23DC|DataLayerSettings
